"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75040","Validate presence of international travel and medical insurance branding -- @1.1 ","","2026-05-23","passed","2026-05-23","","","",""
"","88164","Validate plan grids UI matrix presentation layer loading -- @1.1 ","","2026-05-24","passed","2026-05-24","","","",""
"","99809","Validate traveler details form validation logic errors -- @1.3 ","","2026-05-24","passed","2026-05-24","","","",""
"","92846","Verify successful end-to-end form submission with valid profile metrics -- @1.1 ","","2026-05-23","passed","2026-05-23","","","",""
"","103261","Verify transition to checkout page and user profile info form view -- @1.1 ","","2026-05-23","passed","2026-05-23","","","",""
"","94945","Validate traveler details form validation logic errors -- @1.2 ","","2026-05-24","passed","2026-05-24","","","",""
"","95282","Complete full end-to-end valid submission up to verification -- @1.1 ","","2026-05-23","passed","2026-05-23","","","",""
"","89455","Validate traveler details form validation logic errors -- @1.1 ","","2026-05-24","passed","2026-05-24","","","",""
